EntityIdx,SiteLocation
Site-1517,POINT(-1805.16639373307 866.743653735228)
Site-1518,POINT(422.990816301328 1923.97533407793)
Site-1519,POINT(-842.757413583225 2411.08569221279)
Site-1520,POINT(-1529.56747076438 1119.44718109331)
Site-1521,POINT(47.6144215010035 3049.6020198667)
Site-1522,POINT(773.416294195502 504.028046129467)
Site-1523,POINT(363.943055299571 970.744153397922)
Site-1524,POINT(354.74459103575 1056.96238960934)
Site-1525,POINT(-1644.2614973539 968.594462919698)
Site-1526,POINT(-50.9750729306855 2648.1514945807)
Site-1527,POINT(684.142867473411 2022.62948130702)
Site-1528,POINT(-1019.6124948631 1675.36631657515)
Site-1529,POINT(32.9349446317487 841.83081192627)
Site-1530,POINT(-668.728192305133 1858.35336480467)
Site-1531,POINT(47.3709839263733 1232.19297845207)
Site-1532,POINT(-1605.65822205144 1201.78033316623)
Site-1533,POINT(498.793990244414 2207.2827599058)
Site-1534,POINT(353.222270687782 2576.03338800375)
Site-1535,POINT(-598.755130379402 1443.62686286831)
Site-1536,POINT(936.883651970738 571.067940674308)
Site-1537,POINT(-1576.48958511338 2194.23800897363)
Site-1538,POINT(-91.9038302273134 1621.0787728092)
Site-1539,POINT(-16.7013331595062 732.555087764021)
Site-1540,POINT(81.6774003339225 295.221281579207)
Site-1541,POINT(-1586.06608771048 2172.00544361808)
Site-1542,POINT(857.265613632695 1032.90393864285)
Site-1543,POINT(938.953551133466 403.353484752779)
Site-1544,POINT(283.104652927647 2759.66045680902)
Site-1545,POINT(354.74459103575 1026.45834183344)
Site-1546,POINT(195.992204656008 1607.78677994608)
Site-1547,POINT(-1040.49573144641 1684.97221747431)
Site-1548,POINT(928.531387496808 631.921273005095)
Site-1549,POINT(-1318.42808110176 1965.92545195854)
Site-1550,POINT(1188.31259749514 425.920208205248)
Site-1551,POINT(-796.218797488158 1221.17398119257)
Site-1552,POINT(489.157685415465 1029.79740483144)
Site-1553,POINT(-1934.04115927505 1800.56749469799)
Site-1554,POINT(-1264.84329914184 1791.77076457226)
Site-1555,POINT(-645.790986515721 1847.16559521032)
Site-1556,POINT(129.599499197507 1620.35366373593)
Site-1557,POINT(30.7750879934583 930.823654659544)
Site-1558,POINT(-1509.74449874375 861.602140770138)
Site-1559,POINT(-1334.96221065611 994.510304425229)
Site-1560,POINT(-466.591503190868 2848.89692996057)
Site-1561,POINT(-1942.39798523 1819.25704205492)
Site-1562,POINT(425.308881342411 1176.47047485414)
Site-1563,POINT(-850.197581494218 3117.41711555784)
Site-1564,POINT(349.614109833403 2094.01526283424)
Site-1565,POINT(-873.404579942018 1873.51921283039)
Site-1566,POINT(-1640.1706749977 1839.93903100949)
Site-1567,POINT(-689.982958277485 2199.38090370571)
Site-1568,POINT(568.33206495764 2164.5129121319)
Site-1569,POINT(1105.26028823235 583.388551092711)
Site-1570,POINT(-895.811216050246 1408.75080003951)
Site-1571,POINT(-1576.48958511338 2194.23800897363)
Site-1572,POINT(166.978106219436 2659.40751056079)
Site-1573,POINT(-775.024371314431 1155.72884460105)
Site-1574,POINT(-628.516765988441 3085.0252905925)
Site-1575,POINT(410.451430663262 1026.45834183344)
Site-1576,POINT(-1631.0205495628 867.276436920349)
Site-1577,POINT(-842.757413583225 2375.34550327327)
Site-1578,POINT(-745.462518887617 1719.5754340511)
Site-1579,POINT(495.912156330891 2813.41256771467)
Site-1580,POINT(-1447.52917785768 1440.44254160857)
Site-1581,POINT(-5.36820097928911 473.582161689789)
Site-1582,POINT(-2005.68835708042 1804.28208866902)
Site-1583,POINT(-1757.57848251454 1673.42738617958)
Site-1584,POINT(861.389059791785 1171.14710041843)
Site-1585,POINT(-394.970764947247 1617.93724626583)
Site-1586,POINT(-38.5207352423608 2664.45257836313)
Site-1587,POINT(-279.844158882301 1469.70249964471)
Site-1588,POINT(436.150272304859 1912.23439462156)
Site-1589,POINT(-785.749684368276 2181.67385272071)
Site-1590,POINT(-1410.15545365931 1702.21640572264)
Site-1591,POINT(-683.053546843015 1680.8752396532)
Site-1592,POINT(-1515.71273983981 1839.02956410179)
Site-1593,POINT(-888.002414654507 1727.0126885127)
Site-1594,POINT(-1592.05242090529 1664.28140096035)
Site-1595,POINT(348.706625818889 724.444314297853)
Site-1596,POINT(73.7875798725447 272.556544147649)
Site-1597,POINT(875.570253977221 1053.98508899897)
Site-1598,POINT(-160.3355952318 2788.44852591539)
Site-1599,POINT(874.393416901922 571.067940674308)
Site-1600,POINT(512.701605187059 2198.72879035102)
Site-1601,POINT(-438.520250007787 1525.67354127599)
Site-1602,POINT(-25.2690119261728 979.086639643813)
Site-1603,POINT(-1342.0810167473 1371.73515836622)
Site-1604,POINT(709.133474453571 468.966643614003)
Site-1605,POINT(-942.491264590744 2743.48403604902)
Site-1606,POINT(-1478.70509306298 1878.35477308971)
Site-1607,POINT(3.69801305824 453.316063349956)
Site-1608,POINT(-1767.03174153213 1647.19380200971)
Site-1609,POINT(-1249.40351399018 1965.92545195854)
Site-1610,POINT(382.598010849506 1041.71036572139)
Site-1611,POINT(-931.461710257676 2820.76608302781)
Site-1612,POINT(-1934.04115927505 1800.56749469799)
Site-1613,POINT(-721.89839672133 3201.72959213137)
Site-1614,POINT(1005.72062227167 403.353484752779)
Site-1615,POINT(961.955025395252 1359.60153079472)
Site-1616,POINT(-1758.50074446374 763.888140060971)
Site-1617,POINT(-2005.68835708042 1941.25809327034)
Site-1618,POINT(14.9530340843393 3069.65264786068)
Site-1619,POINT(-1359.03915049941 1458.80071730868)
Site-1620,POINT(-1573.8639216871 1928.67058543994)
Site-1621,POINT(-911.238800899227 2809.83930525314)
Site-1622,POINT(-1335.68422287966 1975.43714902706)
Site-1623,POINT(81.6774003339225 295.221281579207)
Site-1624,POINT(73.0235073574426 2582.19043285424)
Site-1625,POINT(156.173931100164 1165.47302697075)
Site-1626,POINT(-1333.90046005665 924.332229620143)
Site-1627,POINT(38.4535750888925 902.697926959738)
Site-1628,POINT(-1694.67070927332 916.81019964889)
Site-1629,POINT(-143.594395720054 2788.44852591539)
Site-1630,POINT(-1336.94751087944 2136.84579964769)
Site-1631,POINT(415.893238404145 2698.79693726364)
Site-1632,POINT(-918.939649736516 3110.19551480454)
Site-1633,POINT(-668.728192305133 1858.35336480467)
Site-1634,POINT(-1811.59912908342 748.599666479273)
Site-1635,POINT(-1359.03915049941 1478.14344005588)
Site-1636,POINT(787.399219998321 489.23517044752)
Site-1637,POINT(-1767.07160701668 1718.98670468292)
Site-1638,POINT(44.2489642741164 2597.23643313046)
Site-1639,POINT(14.9530340843393 3149.85515983658)
Site-1640,POINT(961.955025395252 1275.82065286162)
Site-1641,POINT(474.73058960536 2031.73513162443)
Site-1642,POINT(-91.266096283743 2592.07575965114)
Site-1643,POINT(1017.77273040188 470.571766090023)
Site-1644,POINT(-1503.24787563361 1012.95034748899)
Site-1645,POINT(-1312.57263846766 1849.35180355812)
Site-1646,POINT(-1648.14467985563 1350.55720662651)
Site-1647,POINT(-1335.68422287966 1956.41375489003)
Site-1648,POINT(-1886.89263007972 1948.70648667364)
Site-1649,POINT(349.872152741985 959.071153894837)
Site-1650,POINT(955.645318918016 416.001613228457)
Site-1651,POINT(579.943478411923 266.632431213989)
Site-1652,POINT(-1812.93074215248 845.154708741231)
Site-1653,POINT(-1000.60189111411 2049.37474625201)
Site-1654,POINT(922.261783348916 416.001613228457)
Site-1655,POINT(-457.791280854316 2824.55918421369)
Site-1656,POINT(-1586.06608771048 2172.00544361808)
Site-1657,POINT(-1599.05057471985 1263.44655689181)
Site-1658,POINT(213.896203428993 1085.41867382574)
Site-1659,POINT(-50.9750729306855 2648.1514945807)
Site-1660,POINT(-789.659929945246 1719.5754340511)
Site-1661,POINT(-1344.82727958267 1045.13719867749)
Site-1662,POINT(-822.423785726536 2924.15277669448)
Site-1663,POINT(-574.195202853156 1603.83470857425)
Site-1664,POINT(-1531.30353980088 2072.27283587912)
Site-1665,POINT(-1625.44606599826 1365.44498557828)
Site-1666,POINT(1012.17122110029 1512.9459502396)
Site-1667,POINT(767.46341609356 1360.27511516004)
Site-1668,POINT(489.157685415465 1063.43468131794)
Site-1669,POINT(-826.385870089648 1431.2523939371)
Site-1670,POINT(-5.36820097928911 473.582161689789)
Site-1671,POINT(73.7875798725447 272.556544147649)
Site-1672,POINT(410.451430663262 1056.96238960934)
Site-1673,POINT(-1162.62012640032 1705.55364528696)
Site-1674,POINT(152.213929010067 844.160314716854)
Site-1675,POINT(-824.997460635755 2190.94590138109)
Site-1676,POINT(-1172.61835615574 1871.82497452876)
Site-1677,POINT(-1478.70509306298 1839.02956410179)
Site-1678,POINT(-598.755130379402 1508.08797847578)
Site-1679,POINT(29.9306649509953 2480.66339480477)
Site-1680,POINT(-1942.39798523 1819.25704205492)
Site-1681,POINT(-774.927459592703 1703.26195794563)
Site-1682,POINT(685.526322641321 1150.10461463704)
Site-1683,POINT(-1162.89359268745 1598.06208817783)
Site-1684,POINT(-1933.292003834 1948.70648667364)
Site-1685,POINT(-1609.45075487564 842.011980935007)
Site-1686,POINT(-26.0320840179233 709.884702751763)
Site-1687,POINT(-1240.93851373221 2034.72794357238)
Site-1688,POINT(-1442.91771007049 969.989991285435)
Site-1689,POINT(353.222270687782 2359.78519631385)
Site-1690,POINT(411.330586711068 1131.26112595821)
Site-1691,POINT(914.310111108424 1431.98232492015)
Site-1692,POINT(-940.817886241628 3101.63355629369)
Site-1693,POINT(355.337069369676 2759.66045680902)
Site-1694,POINT(154.843625798958 1067.93924996873)
Site-1695,POINT(-117.21143969603 2579.17179123124)
Site-1696,POINT(-828.757967271405 2996.50302536173)
Site-1697,POINT(226.283683328385 1031.80953184867)
Site-1698,POINT(-169.102126520604 2592.07575965114)
Site-1699,POINT(1040.37335395608 2586.85301118443)
Site-1700,POINT(29.2681116471057 2754.83360745633)
Site-1701,POINT(-430.946771124442 1500.34133050887)
Site-1702,POINT(-826.385870089648 1495.32117767895)
Site-1703,POINT(-704.911328625969 2273.05465552856)
Site-1704,POINT(44.2489642741164 2567.14443257801)
Site-1705,POINT(738.005541091488 1162.51020112788)
Site-1706,POINT(-214.112341748911 1503.04684246203)
Site-1707,POINT(-16.7013331595062 732.555087764021)
Site-1708,POINT(9.73074714682025 1267.60402795344)
Site-1709,POINT(-1814.69150636355 1838.64040887862)
Site-1710,POINT(-709.748136882044 1221.17398119257)
Site-1711,POINT(-888.002414654507 1686.04171497668)
Site-1712,POINT(-1814.69150636355 1838.64040887862)
Site-1713,POINT(68.9568334564953 796.936941452878)
Site-1714,POINT(61.3568355439584 2422.31123990111)
Site-1715,POINT(-1934.04115927505 1800.56749469799)
Site-1716,POINT(-1933.292003834 1894.55677812752)
Site-1717,POINT(773.416294195502 504.028046129467)
Site-1718,POINT(-851.094744507854 2735.03451304627)
Site-1719,POINT(-645.790986515721 1847.16559521032)
Site-1720,POINT(-1520.23718891639 1757.64353795624)
Site-1721,POINT(-1741.28297267868 726.802369826599)
Site-1722,POINT(-1142.36381887747 1606.88431343981)
Site-1723,POINT(-1499.2600324702 1769.90328098186)
Site-1724,POINT(1189.07877263638 1264.07369666256)
Site-1725,POINT(1012.17122110029 1310.22831290786)
Site-1726,POINT(-1408.91995133826 1586.35468751391)
Site-1727,POINT(-831.702910539736 2849.93140413225)
Site-1728,POINT(-699.125575118763 2830.23366760025)
Site-1729,POINT(411.330586711068 1191.54025781945)
Site-1730,POINT(-589.353719757748 1459.74214177018)
Site-1731,POINT(876.771799145989 1157.61287317486)
Site-1732,POINT(1113.52045615371 564.418139416981)
Site-1733,POINT(422.990816301328 1877.01157625246)
Site-1734,POINT(1111.29122911512 463.867984892812)
Site-1735,POINT(-1411.30134818697 1774.09372675999)
Site-1736,POINT(1167.2868039223 425.920208205248)
Site-1737,POINT(-1172.61835615574 1947.16077394001)
Site-1738,POINT(-768.000085758758 1629.48824168726)
Site-1739,POINT(-1100.21138995059 1662.74541495145)
Site-1740,POINT(-466.591503190868 2848.89692996057)
Site-1741,POINT(208.858854273146 2700.03706478171)
Site-1742,POINT(770.641370587785 1162.51020112788)
Site-1743,POINT(-1599.05057471985 1298.33316973897)
Site-1744,POINT(-660.744512561652 2905.38421642456)
Site-1745,POINT(-744.392253757938 3192.07262592218)
Site-1746,POINT(942.073824316299 647.793912326744)
Site-1747,POINT(1028.50695736815 2609.27696168967)
Site-1748,POINT(-1115.81357406303 1652.04335736757)
Site-1749,POINT(-1478.28287602401 1782.16302400747)
Site-1750,POINT(1133.04129072426 1150.69533689978)
Site-1751,POINT(411.639379089247 724.444314297853)
Site-1752,POINT(692.049426116327 569.754130760195)
Site-1753,POINT(-1342.0810167473 1390.47730757557)
Site-1754,POINT(-864.245236903235 2200.21795004146)
Site-1755,POINT(-1432.93031272339 1197.25665458686)
Site-1756,POINT(115.413353562652 793.797528574365)
Site-1757,POINT(14.629057963423 1115.01168534911)
Site-1758,POINT(1017.77273040188 470.571766090023)
Site-1759,POINT(-1233.55815944706 1378.0114904192)
Site-1760,POINT(-1334.61976309043 1586.30928484473)
Site-1761,POINT(-276.356854462188 1333.1780866311)
Site-1762,POINT(-673.033943178408 3134.56057492976)
Site-1763,POINT(664.615957967889 468.966643614003)
Site-1764,POINT(-151.964995475927 2762.03067224016)
Site-1765,POINT(-779.320246800223 2411.94073285983)
Site-1766,POINT(-561.772993820842 1623.65529793017)
Site-1767,POINT(999.833713979622 1157.61287317486)
Site-1768,POINT(226.283683328385 1074.69684543033)
Site-1769,POINT(-659.910726642234 1688.66294416596)
Site-1770,POINT(-1320.06721847986 1788.33063416659)
Site-1771,POINT(838.960973288169 1053.98508899897)
Site-1772,POINT(922.529546262936 1317.71109182817)
Site-1773,POINT(-668.728192305133 1858.35336480467)
Site-1774,POINT(-1756.65873802628 1728.3399080484)
Site-1775,POINT(-835.531466272039 3095.66925247531)
Site-1776,POINT(639.876196910294 389.942930971234)
Site-1777,POINT(-826.385870089648 1367.18361019525)
Site-1778,POINT(857.265613632695 1032.90393864285)
Site-1779,POINT(-1402.59605549877 1754.34804277154)
Site-1780,POINT(-731.365802033572 1221.17398119257)
Site-1781,POINT(-799.130758061242 1163.98053888136)
Site-1782,POINT(-1019.6124948631 1675.36631657515)
Site-1783,POINT(-775.024371314431 1155.72884460105)
Site-1784,POINT(-1651.26084740496 1298.33316973897)
Site-1785,POINT(1051.37180899707 2496.24615610027)
Site-1786,POINT(-1313.96404984128 2034.72794357238)
Site-1787,POINT(-1246.54778630294 761.33596329246)
Site-1788,POINT(-1602.74745214089 1380.33276453006)
Site-1789,POINT(154.843625798958 987.554820947971)
Site-1790,POINT(-799.130758061242 1163.98053888136)
Site-1791,POINT(568.33206495764 2198.72879035102)
Site-1792,POINT(-1253.9412190692 1385.82689709694)
Site-1793,POINT(367.249537666619 2377.80587895467)
Site-1794,POINT(-1010.58612778007 2094.38615020365)
Site-1795,POINT(1040.37335395608 2586.85301118443)
Site-1796,POINT(-1732.67408678615 708.259484709413)
Site-1797,POINT(-762.013708735154 2673.34540967525)
Site-1798,POINT(-1835.68322993192 1746.68082264188)
Site-1799,POINT(1002.29607354948 1563.62535957254)
Site-1800,POINT(-1255.51969357234 1449.12935593508)
Site-1801,POINT(-1609.45075487564 892.540892905691)
Site-1802,POINT(-1706.47742830829 1979.37433082876)
Site-1803,POINT(952.098655612173 1254.87543337835)
Site-1804,POINT(129.599499197507 1570.08612857653)
Site-1805,POINT(-1421.58319939554 1680.83292695459)
Site-1806,POINT(60.5935408264006 79.6240797539363)
Site-1807,POINT(-664.324198360033 2830.23366760025)
Site-1808,POINT(161.414072871921 781.206832038743)
Site-1809,POINT(-1942.39798523 1819.25704205492)
Site-1810,POINT(355.417408185694 1131.26112595821)
Site-1811,POINT(-1162.89359268745 1598.06208817783)
Site-1812,POINT(116.630880697733 1128.46518282294)
Site-1813,POINT(36.565332482733 727.926120548237)
Site-1814,POINT(-1803.76862830318 770.45166860678)
Site-1815,POINT(-1538.51282214127 1012.95034748899)
Site-1816,POINT(-733.926951877494 2916.54725252739)
Site-1817,POINT(-1944.89184727258 1908.09420526405)
Site-1818,POINT(-1531.30353980088 2164.49321209862)
Site-1819,POINT(-879.216021669422 2375.34550327327)
Site-1820,POINT(929.15857397622 2414.72476649735)
Site-1821,POINT(-1590.05148774025 981.070149019115)
Site-1822,POINT(45.6612351754536 50.5609882532774)
Site-1823,POINT(890.015975669126 540.937999144983)
Site-1824,POINT(-1776.48500054973 1620.96021783985)
Site-1825,POINT(-1352.76530063607 1745.41419271331)
Site-1826,POINT(-895.811216050246 1606.55680208267)
Site-1827,POINT(-1531.30353980088 2187.5483061535)
Site-1828,POINT(-645.790986515721 1847.16559521032)
Site-1829,POINT(-430.471182077475 1617.93724626583)
Site-1830,POINT(182.713663564308 1570.08612857653)
Site-1831,POINT(536.438627931172 1029.79740483144)
Site-1832,POINT(787.399219998321 489.23517044752)
Site-1833,POINT(-1811.59912908342 748.599666479273)
Site-1834,POINT(-1518.24566173252 1352.02280957618)
Site-1835,POINT(406.15576297233 959.071153894837)
Site-1836,POINT(-1409.94903859354 1125.43282309274)
Site-1837,POINT(11.075303677157 2488.57235422094)
Site-1838,POINT(-1000.60189111411 2139.3975541553)
Site-1839,POINT(773.416294195502 504.028046129467)
Site-1840,POINT(974.803036105308 2414.72476649735)
Site-1841,POINT(1167.2868039223 565.101484895547)
Site-1842,POINT(-1408.58644129399 1885.81571325804)
Site-1843,POINT(-820.86535104986 3117.41711555784)
Site-1844,POINT(877.771037890744 470.229071324735)
Site-1845,POINT(4.06590494545123 3169.90578783055)
Site-1846,POINT(770.641370587785 1117.31332465336)
Site-1847,POINT(-438.520250007787 1525.67354127599)
Site-1848,POINT(-1230.46350151207 869.45608788015)
Site-1849,POINT(30.7289295245066 21.4978967526186)
Site-1850,POINT(875.008030381641 1431.98232492015)
Site-1851,POINT(-850.197581494218 3117.41711555784)
Site-1852,POINT(-1338.335259114 1449.12935593508)
Site-1853,POINT(858.770858134718 571.067940674308)
Site-1854,POINT(-842.757413583225 2411.08569221279)
Site-1855,POINT(-1884.80852814296 2064.48693172684)
Site-1856,POINT(1189.07877263638 1245.09652465083)
Site-1857,POINT(-1264.84329914184 1661.01466119134)
Site-1858,POINT(-785.749684368276 2200.21795004146)
Site-1859,POINT(874.393416901922 540.937999144983)
Site-1860,POINT(-1172.61835615574 1928.3268240872)
Site-1861,POINT(489.157685415465 1029.79740483144)
Site-1862,POINT(936.883651970738 571.067940674308)
Site-1863,POINT(912.047695478704 482.937290652033)
Site-1864,POINT(469.520003359914 2084.03461136037)
Site-1865,POINT(-1334.96221065611 1095.76409292975)
Site-1866,POINT(-26.0320840179233 709.884702751763)
Site-1867,POINT(-1529.56747076438 1081.3109859039)
Site-1868,POINT(406.15576297233 912.379155882496)
Site-1869,POINT(-592.376885405685 2830.39862628297)
Site-1870,POINT(-1573.8639216871 1954.02245813435)
Site-1871,POINT(23.096600898024 902.697926959738)
Site-1872,POINT(1072.72258260634 463.867984892812)
Site-1873,POINT(1017.77273040188 470.571766090023)
Site-1874,POINT(-1019.80284364508 1956.79295621552)
Site-1875,POINT(-169.102126520604 2566.26782281135)
Site-1876,POINT(837.869649718043 2322.32621770579)
Site-1877,POINT(877.771037890744 495.645509979331)
Site-1878,POINT(152.213929010067 793.797528574365)
Site-1879,POINT(-38.5207352423608 2664.45257836313)
Site-1880,POINT(-579.952309136095 1475.85742067204)
Site-1881,POINT(1189.07877263638 1226.1193526391)
Site-1882,POINT(-713.140097602285 2208.8949287864)
Site-1883,POINT(-1603.99280908534 2077.95833415314)
Site-1884,POINT(-1233.55815944706 1378.0114904192)
Site-1885,POINT(673.785080325805 1127.19720525039)
Site-1886,POINT(-598.755130379402 1443.62686286831)
Site-1887,POINT(-1020.57036444602 2049.37474625201)
Site-1888,POINT(1017.77273040188 470.571766090023)
Site-1889,POINT(228.566505288984 927.721285250252)
Site-1890,POINT(645.348272353903 1979.72657296219)
Site-1891,POINT(208.858854273146 2659.40751056079)
Site-1892,POINT(1022.04636865111 1259.54890357492)
Site-1893,POINT(-430.946771124442 1500.34133050887)
Site-1894,POINT(116.630880697733 1165.47302697075)
Site-1895,POINT(-1253.9412190692 1385.82689709694)
Site-1896,POINT(1017.77273040188 470.571766090023)
Site-1897,POINT(-1942.02246020143 2026.5902416698)
Site-1898,POINT(-1268.09483437566 1856.32239561889)
Site-1899,POINT(-1493.60644546344 1081.3109859039)
Site-1900,POINT(-939.748167952985 1220.977301928)
Site-1901,POINT(-839.469566341925 3188.80995519773)
Site-1902,POINT(166.978106219436 2659.40751056079)
Site-1903,POINT(-1379.42349914348 1381.1062329709)
Site-1904,POINT(-1159.29076563154 1909.49287423439)
Site-1905,POINT(-881.69089724831 1155.32815070623)
Site-1906,POINT(-637.734292677842 3202.87694737343)
Site-1907,POINT(-1332.22043386855 2084.13234777947)
Site-1908,POINT(413.987105083513 2084.03461136037)
Site-1909,POINT(-556.745655409987 3213.07348439654)
Site-1910,POINT(-1433.68180835596 1458.62491981251)
Site-1911,POINT(-881.540123512007 3176.87240152271)
Site-1912,POINT(875.525566912298 650.783866494772)
Site-1913,POINT(-915.894495658492 1234.37186631308)
Site-1914,POINT(60.5935408264006 79.6240797539363)
Site-1915,POINT(-1250.81218980063 1870.51153449824)
Site-1916,POINT(749.930417304538 1344.54442689145)
Site-1917,POINT(-678.788368756798 2888.6007966247)
Site-1918,POINT(-159.874970319811 1449.91567220746)
Site-1919,POINT(415.893238404145 2622.38651696295)
Site-1920,POINT(-905.290294885584 1163.25990562693)
Site-1921,POINT(101.798050440769 2597.23643313046)
Site-1922,POINT(152.213929010067 844.160314716854)
Site-1923,POINT(-586.617411885471 1584.01411921833)
Site-1924,POINT(-570.375931551665 2838.21713224258)
Site-1925,POINT(-1505.25835780942 1197.25665458686)
Site-1926,POINT(-1142.36381887747 1606.88431343981)
Site-1927,POINT(1058.94534129379 2512.68709473937)
Site-1928,POINT(645.348272353903 2022.62948130702)
Site-1929,POINT(907.537277854398 1171.14710041843)
Site-1930,POINT(-1167.64805052508 2050.00006071151)
Site-1931,POINT(-1010.6463915715 1975.61425027301)
Site-1932,POINT(108.83621173892 2656.86503268025)
Site-1933,POINT(-50.9750729306855 2648.1514945807)
Site-1934,POINT(-556.745655409987 3233.46655844275)
Site-1935,POINT(81.6774003339225 295.221281579207)
Site-1936,POINT(-592.376885405685 2830.39862628297)
Site-1937,POINT(355.337069369676 2799.84284638645)
Site-1938,POINT(-1451.0123239949 1189.33433585082)
Site-1939,POINT(283.104652927647 2799.84284638645)
Site-1940,POINT(-731.645652475825 1794.37887269053)
Site-1941,POINT(1017.77273040188 470.571766090023)
Site-1942,POINT(1189.07877263638 1302.02804068601)
Site-1943,POINT(-1526.666338747 1639.72844547857)
Site-1944,POINT(1111.29122911512 498.020265053783)
Site-1945,POINT(32.477250244302 1091.69312177147)
Site-1946,POINT(955.616261135789 631.921273005095)
Site-1947,POINT(-1886.89263007972 1948.70648667364)
Site-1948,POINT(-1626.90932433558 1827.26309466228)
Site-1949,POINT(208.858854273146 2700.03706478171)
Site-1950,POINT(73.0235073574426 2582.19043285424)
Site-1951,POINT(-1756.65873802628 1765.75272151029)
Site-1952,POINT(32.9349446317487 796.936941452878)
Site-1953,POINT(-1162.62012640032 1662.74541495145)
Site-1954,POINT(-1587.35227003146 2059.37211559572)
Site-1955,POINT(-836.623898362204 2973.84011876089)
Site-1956,POINT(-1411.30134818697 1774.09372675999)
Site-1957,POINT(738.005541091488 1162.51020112788)
Site-1958,POINT(1017.77273040188 470.571766090023)
Site-1959,POINT(-775.024371314431 1155.72884460105)
Site-1960,POINT(1111.29122911512 463.867984892812)
Site-1961,POINT(-881.69089724831 1155.32815070623)
Site-1962,POINT(208.858854273146 2659.40751056079)
Site-1963,POINT(989.028854487117 416.001613228457)
Site-1964,POINT(-721.89839672133 3201.72959213137)
Site-1965,POINT(-1520.23718891639 1757.64353795624)
Site-1966,POINT(-574.195202853156 1603.83470857425)
Site-1967,POINT(403.401228311222 851.500058157324)
Site-1968,POINT(-1359.03915049941 1497.48616280309)
Site-1969,POINT(-892.040823364 1220.977301928)
Site-1970,POINT(182.713663564308 1620.35366373593)
Site-1971,POINT(36.565332482733 655.887301863514)
Site-1972,POINT(3.69801305824 453.316063349956)
Site-1973,POINT(-1447.16074951882 1088.97212953001)
Site-1974,POINT(489.157685415465 1063.43468131794)
Site-1975,POINT(-1447.52917785768 1440.44254160857)
Site-1976,POINT(-717.551120368375 2985.95472191798)
Site-1977,POINT(946.324353066664 470.229071324735)
Site-1978,POINT(116.320958105806 1582.65301236638)
Site-1979,POINT(498.793990244414 2207.2827599058)
Site-1980,POINT(787.399219998321 489.23517044752)
Site-1981,POINT(874.393416901922 571.067940674308)
Site-1982,POINT(354.74459103575 1056.96238960934)
Site-1983,POINT(-1757.92209679924 826.995300134153)
Site-1984,POINT(30.7750879934583 930.823654659544)
Site-1985,POINT(-1040.49573144641 1684.97221747431)
Site-1986,POINT(805.891496866392 736.03578177018)
Site-1987,POINT(-1933.292003834 1948.70648667364)
Site-1988,POINT(-1019.60571397758 1606.55680208267)
Site-1989,POINT(298.952182617658 2033.84909656529)
Site-1990,POINT(-1354.63436277149 1550.88521756603)
Site-1991,POINT(-430.471182077475 1580.15632542925)
Site-1992,POINT(877.771037890744 470.229071324735)
Site-1993,POINT(-1814.69150636355 1838.64040887862)
Site-1994,POINT(1118.5791423463 1124.03118667305)
Site-1995,POINT(-1019.80284364508 1956.79295621552)
Site-1996,POINT(241.075976827189 2061.20537797565)
Site-1997,POINT(941.679978738197 2324.65232854553)
Site-1998,POINT(-1320.06721847986 1659.58130980676)
Site-1999,POINT(-1601.43998265459 1696.10624564721)
Site-2000,POINT(-1233.55815944706 1378.0114904192)
Site-2001,POINT(-25.2690119261728 809.151034973664)
Site-2002,POINT(-1747.38019887826 841.964450053276)
Site-2003,POINT(-847.860020323933 2306.15219128911)
Site-2004,POINT(-1409.94903859354 1088.97212953001)
Site-2005,POINT(-744.392253757938 3192.07262592218)
Site-2006,POINT(219.876959882367 2071.28169796736)
Site-2007,POINT(295.961007664904 2073.28690672717)
Site-2008,POINT(588.548515744721 289.361399801809)
Site-2009,POINT(568.33206495764 2164.5129121319)
Site-2010,POINT(-1354.69234850922 994.510304425229)
Site-2011,POINT(-1162.62012640032 1705.55364528696)
Site-2012,POINT(-835.531466272039 3095.66925247531)
Site-2013,POINT(29.9306649509953 2480.66339480477)
Site-2014,POINT(-1433.68180835596 1458.62491981251)
Site-2015,POINT(-1416.76598153965 1390.47730757557)
Site-2016,POINT(115.413353562652 793.797528574365)
Site-2017,POINT(-1825.60523554551 1697.56767034874)
Site-2018,POINT(-941.410618952621 1686.04171497668)
Site-2019,POINT(-1757.57848251454 1673.42738617958)
Site-2020,POINT(355.417408185694 1191.54025781945)
Site-2021,POINT(-35.927349734198 936.602738476276)
Site-2022,POINT(716.211709386293 577.939586623343)
Site-2023,POINT(-1497.2089164514 1858.69216859575)
Site-2024,POINT(865.284382383409 687.244731629953)
Site-2025,POINT(-570.375931551665 2838.21713224258)
Site-2026,POINT(-1625.1557110624 1280.88986331539)
Site-2027,POINT(-25.2690119261728 851.634936141201)
Site-2028,POINT(-830.194141473425 2906.66841044966)
Site-2029,POINT(-750.469881867439 2661.55567582967)
Site-2030,POINT(-502.75323056475 3233.46655844275)
Site-2031,POINT(-1815.52724115909 1648.45451805559)
Site-2032,POINT(1051.37180899707 2496.24615610027)
Site-2033,POINT(-1648.14467985563 1350.55720662651)
Site-2034,POINT(-1442.91771007049 1019.03251118907)
Site-2035,POINT(-561.772993820842 1623.65529793017)
Site-2036,POINT(-1815.52724115909 1746.68082264188)
Site-2037,POINT(-16.7013331595062 732.555087764021)
